id,Client Sent,Server Recived,Model runtime,Server sent,Client Recived
189134,2024-05-05 17:02:41.350959,2024-05-05 17:02:44.698808,0.1461033821105957,2024-05-05 17:02:44.863092,2024-05-05 17:02:41.352364
189135,2024-05-05 17:02:45.193419,2024-05-05 17:02:48.191565,0.14017963409423828,2024-05-05 17:02:48.346452,2024-05-05 17:02:45.194409
189136,2024-05-05 17:02:48.514370,2024-05-05 17:02:51.849818,0.13157391548156738,2024-05-05 17:02:51.994864,2024-05-05 17:02:48.515700
189137,2024-05-05 17:02:52.085673,2024-05-05 17:02:55.081609,0.13347721099853516,2024-05-05 17:02:55.229490,2024-05-05 17:02:52.086452
189138,2024-05-05 17:02:55.326178,2024-05-05 17:02:58.613766,0.1225900650024414,2024-05-05 17:02:58.751384,2024-05-05 17:02:55.327331
189139,2024-05-05 17:02:58.842542,2024-05-05 17:03:02.235987,0.14671015739440918,2024-05-05 17:03:02.398302,2024-05-05 17:02:58.843906
189140,2024-05-05 17:03:02.533437,2024-05-05 17:03:05.022029,0.12887263298034668,2024-05-05 17:03:05.166398,2024-05-05 17:03:02.534225
189141,2024-05-05 17:03:05.256003,2024-05-05 17:03:07.978249,0.13704562187194824,2024-05-05 17:03:08.128667,2024-05-05 17:03:05.257010
189142,2024-05-05 17:03:08.228426,2024-05-05 17:03:11.259137,0.1378345489501953,2024-05-05 17:03:11.411277,2024-05-05 17:03:08.229605
189143,2024-05-05 17:03:11.493833,2024-05-05 17:03:14.119021,0.1371614933013916,2024-05-05 17:03:14.269211,2024-05-05 17:03:11.494687
189144,2024-05-05 17:03:14.353573,2024-05-05 17:03:17.093548,0.13946199417114258,2024-05-05 17:03:17.246051,2024-05-05 17:03:14.354606
189145,2024-05-05 17:03:17.334380,2024-05-05 17:03:20.630289,0.1140906810760498,2024-05-05 17:03:20.757711,2024-05-05 17:03:17.335664
189146,2024-05-05 17:03:20.835275,2024-05-05 17:03:24.062664,0.10283780097961426,2024-05-05 17:03:24.178656,2024-05-05 17:03:20.836421
189147,2024-05-05 17:03:24.266833,2024-05-05 17:03:27.282274,0.11410212516784668,2024-05-05 17:03:27.409544,2024-05-05 17:03:24.268206
189148,2024-05-05 17:03:27.501614,2024-05-05 17:03:30.977753,0.1127769947052002,2024-05-05 17:03:31.103769,2024-05-05 17:03:27.502749
189149,2024-05-05 17:03:31.187347,2024-05-05 17:03:34.674337,0.1165628433227539,2024-05-05 17:03:34.805463,2024-05-05 17:03:31.188536
189150,2024-05-05 17:03:34.898497,2024-05-05 17:03:38.285466,0.11334753036499023,2024-05-05 17:03:38.412325,2024-05-05 17:03:34.899750
189151,2024-05-05 17:03:38.496739,2024-05-05 17:03:41.830353,0.11487317085266113,2024-05-05 17:03:41.960057,2024-05-05 17:03:38.497969
1,2024-05-05 17:06:29.579717,2024-05-05 17:06:32.995327,0.11267542839050293,2024-05-05 17:06:33.123240,2024-05-05 17:06:29.580521
2,2024-05-05 17:06:33.341946,2024-05-05 17:06:35.326224,0.11083078384399414,2024-05-05 17:06:35.451780,2024-05-05 17:06:33.342775
3,2024-05-05 17:06:35.730136,2024-05-05 17:06:38.591124,0.11147904396057129,2024-05-05 17:06:38.718157,2024-05-05 17:06:35.730873
4,2024-05-05 17:06:38.917744,2024-05-05 17:06:41.729990,0.11366415023803711,2024-05-05 17:06:41.860411,2024-05-05 17:06:38.918524
5,2024-05-05 17:06:42.051996,2024-05-05 17:06:44.204846,0.11082935333251953,2024-05-05 17:06:44.330273,2024-05-05 17:06:42.052573
6,2024-05-05 17:06:44.515425,2024-05-05 17:06:46.476221,0.1148536205291748,2024-05-05 17:06:46.605843,2024-05-05 17:06:44.515949
7,2024-05-05 17:06:46.896513,2024-05-05 17:06:48.879128,0.11253929138183594,2024-05-05 17:06:49.006621,2024-05-05 17:06:46.897027
8,2024-05-05 17:06:49.255727,2024-05-05 17:06:50.965128,0.11053895950317383,2024-05-05 17:06:51.091322,2024-05-05 17:06:49.256216
9,2024-05-05 17:06:51.282751,2024-05-05 17:06:52.731666,0.11109280586242676,2024-05-05 17:06:52.856859,2024-05-05 17:06:51.283268
1,2024-05-05 17:07:19.253782,2024-05-05 17:07:21.615221,0.11051559448242188,2024-05-05 17:07:21.739176,2024-05-05 17:07:19.254479
2,2024-05-05 17:07:22.061606,2024-05-05 17:07:23.520020,0.11005115509033203,2024-05-05 17:07:23.643837,2024-05-05 17:07:22.062237
3,2024-05-05 17:07:23.836539,2024-05-05 17:07:25.318060,0.11273837089538574,2024-05-05 17:07:25.444593,2024-05-05 17:07:23.837439
4,2024-05-05 17:07:25.708959,2024-05-05 17:07:27.236746,0.11206221580505371,2024-05-05 17:07:27.362625,2024-05-05 17:07:25.709601
5,2024-05-05 17:07:27.557143,2024-05-05 17:07:29.122434,0.1112828254699707,2024-05-05 17:07:29.247835,2024-05-05 17:07:27.557935
6,2024-05-05 17:07:29.439526,2024-05-05 17:07:31.036601,0.10956740379333496,2024-05-05 17:07:31.160329,2024-05-05 17:07:29.440091
7,2024-05-05 17:07:31.427154,2024-05-05 17:07:33.138360,0.11130356788635254,2024-05-05 17:07:33.263991,2024-05-05 17:07:31.427709
8,2024-05-05 17:07:33.481329,2024-05-05 17:07:35.029964,0.11397314071655273,2024-05-05 17:07:35.158384,2024-05-05 17:07:33.481808
9,2024-05-05 17:07:35.437705,2024-05-05 17:07:37.073691,0.10941600799560547,2024-05-05 17:07:37.197600,2024-05-05 17:07:35.438228
10,2024-05-05 17:07:37.474993,2024-05-05 17:07:39.179157,0.11291933059692383,2024-05-05 17:07:39.306500,2024-05-05 17:07:37.475549
11,2024-05-05 17:07:39.503309,2024-05-05 17:07:41.044945,0.11050915718078613,2024-05-05 17:07:41.169876,2024-05-05 17:07:39.503850
12,2024-05-05 17:07:41.352317,2024-05-05 17:07:43.058812,0.11280059814453125,2024-05-05 17:07:43.186122,2024-05-05 17:07:41.352968
13,2024-05-05 17:07:43.375688,2024-05-05 17:07:45.047945,0.11427164077758789,2024-05-05 17:07:45.178192,2024-05-05 17:07:43.376178
14,2024-05-05 17:07:45.366039,2024-05-05 17:07:47.605209,0.1123812198638916,2024-05-05 17:07:47.732741,2024-05-05 17:07:45.366582
1,2024-05-05 17:08:14.515844,2024-05-05 17:08:17.070418,0.10983705520629883,2024-05-05 17:08:17.194006,2024-05-05 17:08:14.516666
2,2024-05-05 17:08:17.448796,2024-05-05 17:08:18.935841,0.1118009090423584,2024-05-05 17:08:19.061634,2024-05-05 17:08:17.449385
